cuedc2_mid,cuedc2_rif,cuedc2_dig,cuedc2_par,cuedc2_erg
42.739208293416155,35.10805899766994,39.1022197648738,41.94288428404638,39.83846185184954
42.81592981934105,35.0516746997585,39.10132224700755,42.10016381798512,39.60361976497219
42.566713950954444,34.977631987330426,39.40657528553028,41.99642662172367,39.593061336520464
42.41652078506993,35.01867901810775,38.93686677722189,41.50944199925191,39.538593958849034
42.431635811256726,35.24411776645753,38.53900061125915,41.19293037308161,39.55834466463023
42.55165667051103,35.274415780559195,38.376735953770954,40.904047545477525,39.36441791993915
42.78164442310007,34.807408427321256,38.36043412853124,40.77444269405233,39.72077291736138
42.958163968155255,34.90964133704949,38.464473052188545,41.06164389765982,39.75021080812749
43.16925286067835,34.59964740860326,38.70668573802428,41.311561084250535,39.96582483905592
42.98619328228474,34.48304024505569,38.582409776711145,41.317098631497494,40.19413153741516
43.03152497183982,34.892493426701265,38.55233271318675,41.131680864064485,40.25253278964119
43.13013569893306,34.338638051889454,38.79974654404021,41.09404560542292,40.0328216173659
42.97751282716839,34.19397753526535,39.324977378753445,40.878213123476996,39.95535515996868
42.69441292281059,33.57293515915866,39.41822954395,40.71258445146515,39.649371153961475
42.652604563206076,33.57836688374389,39.32501708643541,41.3703380398669,39.30162818368411
42.40750239988193,33.777096529117905,39.007109497491776,41.59034988764898,38.89813801764123
42.143979471827095,33.4654757115208,39.361895963121306,41.54652167684935,39.06587715835785
42.43918506426086,33.33429669112894,39.57705133609901,41.55741412338694,38.897527864902294
42.47211068443089,33.520652031788124,39.83164377304593,41.73127431857677,38.92667711169749
42.54350438716868,33.298141660876226,39.91996867270077,41.473046234658206,39.0079986973359
42.713877952764626,33.53338204827021,39.780828284228754,41.79050850109263,39.044536031470564
42.600103938651394,33.744022517491445,39.521634825116486,41.80737917444613,38.504414028904414
42.44798466190783,33.875726421062204,39.651179357855995,41.665903285607044,38.92293124943901
42.601399237969524,34.14392286064727,39.93019718940351,41.72533648095175,39.16572563201262
42.747485213337676,34.29552735232073,40.18890007369048,41.51447183929408,39.19438571249855
42.72369653988859,34.25777887623566,40.233876900871145,41.638596366582206,39.45392386990948
42.25329255051062,34.36029437605684,40.73008464767523,41.65717217171786,39.581886963256146
42.458905180703944,34.23650103350998,40.498600811415514,41.686038695398494,39.275228884755194
