cuedc2_rif,cuedc2_par,cuedc2_dig,cuedc2_mid,cuedc2_erg
7.166174693309966,6.951420609052491,9.182826533098208,6.368647899510552,7.25084219734559
7.354287517734833,7.373928229233045,9.11904704825804,6.797791492140524,7.385302172948617
7.600292194871261,7.669950790304754,9.271113739196139,7.171687114869055,7.765949773035441
7.809866141848491,7.721901773025432,9.219402418338777,7.244241095100003,7.996960243133744
7.969796858146689,7.596234290180711,9.158332958633217,7.434568886134149,8.3601406041914
7.799535567667602,7.379346151162667,9.268919949149028,7.449716786984936,8.465812834899213
7.716829662473231,7.403088840728575,9.185202524318,7.653182243774188,8.770342704807568
7.365636153116506,7.653740997840648,9.733896734628813,7.655826633324346,8.571633454845415
7.66636533100175,7.69281858650056,9.871775183296844,8.344628653324804,8.839368886097668
7.748739279101993,8.062078631074913,9.775325613504421,8.366265728941837,9.370267565739702
7.762504909464728,8.222467366461396,10.22536686664037,8.296026086492962,9.557839204900668
7.994667846092479,8.48988010798777,10.498625038454144,8.548896821378236,9.596625999044619
8.413345017579504,8.562233580160996,10.288437130810458,8.75451839699442,9.336244462420245
8.788668774687972,9.012700464763022,10.136743398624134,8.69702984724927,9.457645448940308
8.990683739029269,9.405707033316837,10.096816812423432,8.569675648480153,9.51154502322638
9.055838175199133,9.383367416461297,10.41480019237631,8.274553718974232,9.41418121761594
9.304053095674101,9.723554747299335,10.293632922661041,8.27034337358734,9.593324343287774
9.439262161585077,9.99611278391789,10.354203827230831,8.236123301446574,9.465681177481096
9.695186137495998,10.11169663038921,10.21551416696504,7.953857718446317,9.29037725098467
10.298292105823457,9.877035940458239,10.353979577649257,7.514938115821803,9.433030691863117
10.395015943728207,9.294347759474482,10.52484045347047,7.751241744160364,9.417943630801473
10.240705435009785,9.372938827156268,10.531838724080604,7.836995161097372,9.413448124001594
10.545146141360544,9.728047282650568,10.677751177128144,8.346729026164688,9.434389696444915
10.536604668701377,9.968344070988252,10.878815092873863,8.714558376686304,9.783504150302504
10.703417451520268,9.964253581523321,10.826450297496256,8.591208514209175,9.396633351005514
10.454686676328812,9.651521044457143,10.810246833869938,8.798935392685287,9.774649657609011
10.518836705693692,9.8136618718852,11.065909127580777,9.416236930319345,10.141532356197626
10.405281664440455,9.610533517679087,10.94766449713503,9.575404075453154,10.131849658958597
10.558909157679688,9.910996091036376,10.939019738089236,10.131907900796827,10.087469585506879
10.422405792951539,10.213129779148625,11.545688119892667,10.156178124901835,9.827629477062949
10.223981945309912,10.225649091162154,11.542488896923663,9.637167870083877,10.149728448137804
10.167539119469701,10.638208218931956,11.27127831107595,9.396508074379216,9.940000004316925
10.017953782694866,10.366655037769505,11.597568574402766,9.291765246174641,10.186497896741562
10.45955597907327,10.49629839788176,11.491794915054236,9.468137828476367,10.28212006140879
10.542127064293876,10.616588063107903,11.40493564966131,9.893128821779563,10.044188364129784
10.848086027082426,10.75782218237814,11.385442428395724,9.712069337500425,10.39672115740349
10.931307312219825,11.133525373811695,11.52625018038868,9.76739989443307,10.375424452217537
11.108443701997366,11.304474672338149,11.341886678834527,9.78992276429295,10.667144593732688
11.26780401316169,11.256809355380666,11.230484560883767,9.626675466490578,10.847684533746614
10.93097379173911,11.460429064618316,11.294999942415041,9.383089257164917,11.203281977757479
10.781899238197488,11.686117525404438,11.437903632416015,9.69299663008772,11.458231990276628
10.566153048905202,11.824659282743044,11.324430853861287,9.469451168562319,11.498149786044996
10.67302209463644,11.872662140141346,11.120058582335762,9.743079406082687,11.709868559598009
10.812200833181087,11.799057638769161,11.104325863580474,9.765579070929663,12.050547609671458
10.69853822592187,11.468405255057558,10.848871015235659,9.581909275579738,12.618869361340789
10.86614432641382,11.438125673545118,10.99587829456169,9.891561509485122,12.671257562903156
11.34248842746142,11.077776272979055,10.973018343369542,10.12543632410565,12.564812338057676
11.068720024067163,11.403405391323236,11.373533094421843,10.565268842754508,12.251525642526474
10.911194899625258,11.493182045093956,11.579021148688712,10.665529900351316,11.98675786474721
11.081325358300672,10.804272066288021,12.024967996067138,10.350629751007798,11.99680194163185
11.037223346327607,10.80852032864737,12.295697839641718,10.077863906523033,12.23062672870062
11.061116641838094,11.021923458198884,12.522735107821303,10.43049626824014,12.449911749799679
11.270138212656983,11.1004389173608,12.532740778611586,10.423064518137515,12.593993543974285
11.027155961534357,10.984807908045784,12.37158741091313,10.634109663435037,12.73314425324613
11.238827201679221,11.510707917068393,12.47709132010979,10.453202779380378,12.425991715851259
11.149487679254804,11.539741845721842,12.604076585159705,10.42565182202358,12.047132804367145
11.001304754515656,11.750155518920005,12.558328689983073,10.34182294613982,11.679455810844466
